path,category,risk_level,decision,target_repo,template_candidate,redaction_required,pm_use_case,notes
Aneumind and TC Structure/Archive/Children consent for ZG.pdf,client-data,high,LOCAL-ONLY,Archiavellian,no,no,readiness|gates,minor/client-sensitive data
Aneumind and TC Structure/Archive/Fully Executed Agreement Aneumind LLC 1341836.pdf,legal,high,LOCAL-ONLY,Divorce,no,no,gates,executed agreement; legal-sensitive
Aneumind and TC Structure/Archive/01_Business_Separation_Proposal_Letter.md.docx,legal,high,LOCAL-ONLY,Divorce,no,no,gates,separation/legal strategy document
Aneumind and TC Structure/Archive/07_Aneumind_Authority_Reconciliation_Status.md.docx,legal,high,TEMPLATE-CANDIDATE,Project Manager,yes,yes,governance|gates,extract authority reconciliation template only
Aneumind and TC Structure/Archive/attorney_briefing_packet (1).docx,legal,high,LOCAL-ONLY,Divorce,no,no,gates,attorney privileged/sensitive
Aneumind and TC Structure/Archive/separation_proposal_taylor.docx,legal,high,LOCAL-ONLY,Divorce,no,no,gates,personal legal-sensitive
Aneumind and TC Structure/Archive/Form W-9.pdf,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,gates,tax identifier document
Aneumind and TC Structure/Archive/ARV W-9 SIGNED.pdf,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,gates,tax identifier document
Aneumind and TC Structure/Archive/AneumindEIN.pdf,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,gates,IRS EIN notice
Aneumind and TC Structure/Archive/Q32025 Taxes.pdf,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,gates,tax filing document
Aneumind and TC Structure/Archive/Aneumind_-_General_Ledger_Detail.xlsx,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,readiness,ledger-level financial detail
Aneumind and TC Structure/Archive/Aneumind_-_Journal_Report.xlsx,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,readiness,accounting journal detail
Aneumind and TC Structure/Archive/Aneumind_-_Bank_Reconciliation.xlsx,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,readiness,bank reconciliation detail
Aneumind and TC Structure/Archive/Aneumind - Aneumind BUSINESS CHECKING 2025-10-22 Reconciliation.pdf,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,readiness,bank account reconciliation
Aneumind and TC Structure/Archive/Aneumind-Payroll-trends-2024-03-14-to-2025-03-14.xlsx,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,readiness,payroll-sensitive detail
Aneumind and TC Structure/Archive/aneumind-payroll-summary-7757500968483782.pdf,financial,high,LOCAL-ONLY,MJS Financial Dash,no,no,readiness,payroll summary
Aneumind and TC Structure/Archive/Aneumind Passwords.xlsx,credentials,high,LOCAL-ONLY,Archiavellian,no,no,gates,credentials file; never push
Aneumind and TC Structure/Archive/Aneumind Passwords(1).xlsx,credentials,high,LOCAL-ONLY,Archiavellian,no,no,gates,credentials file; never push
Aneumind and TC Structure/Archive/client_details_report (7).xlsx,client-data,high,LOCAL-ONLY,Archiavellian,no,no,readiness,client-identifying data likely present
Aneumind and TC Structure/Archive/appointments_report (26).xlsx,client-data,high,LOCAL-ONLY,Archiavellian,no,no,readiness,appointment-level client data likely present
